id,category,image,name,price,PB
480,90,http://bgf-cu.xcache.kinxcdn.com/product/8809636680547.jpg,삼겹살구이115g,"4,900원",cu
481,90,http://bgf-cu.xcache.kinxcdn.com/product/8809572420511.jpg,고창애플수박,"7,500원",cu
482,90,http://bgf-cu.xcache.kinxcdn.com/product/8809640110290.jpg,체리200g,"5,500원",cu
483,90,http://bgf-cu.xcache.kinxcdn.com/product/8801483848309.jpg,골드키위900g,"9,900원",cu
484,90,http://bgf-cu.xcache.kinxcdn.com/product/2201148615561.jpg,성주참외1kg,"6,000원",cu
485,90,http://bgf-cu.xcache.kinxcdn.com/product/8801047226178.jpg,양반명품김자반50g,"3,900원",cu
486,90,http://bgf-cu.xcache.kinxcdn.com/product/8801047224341.jpg,양반들기름김,600원,cu
487,90,http://bgf-cu.xcache.kinxcdn.com/product/8801155737580.jpg,함박눈꽃치즈25g,"1,000원",cu
488,90,http://bgf-cu.xcache.kinxcdn.com/product/8801483587505.jpg,골드키위1입,"2,000원",cu
489,90,http://bgf-cu.xcache.kinxcdn.com/product/8801007786285.jpg,흑삼기력진10ml,"2,500원",cu
490,90,http://bgf-cu.xcache.kinxcdn.com/product/8801496105796.jpg,동물복지유정란6입,"3,000원",cu
491,90,http://bgf-cu.xcache.kinxcdn.com/product/8801047511076.jpg,리얼로스트랍스터맛,"3,500원",cu
492,90,http://bgf-cu.xcache.kinxcdn.com/product/8809153470409.jpg,바나나2입,"1,200원",cu
493,90,http://bgf-cu.xcache.kinxcdn.com/product/8801052054513.jpg,백맛김치80g,"1,200원",cu
494,90,http://bgf-cu.xcache.kinxcdn.com/product/8801052054544.jpg,돌산갓김치90g,"2,300원",cu
495,23,http://bgf-cu.xcache.kinxcdn.com/product/8801094253103.jpg,암바사캔345ml,"1,300원",cu
496,23,http://bgf-cu.xcache.kinxcdn.com/product/8801056101978.jpg,젤리톡톡포도185ml,"1,200원",cu
497,23,http://bgf-cu.xcache.kinxcdn.com/product/8801056101930.jpg,젤리톡톡오렌지185ml,"1,200원",cu
498,20,http://bgf-cu.xcache.kinxcdn.com/product/8809422041125.jpg,새싹보리P500ml,"2,000원",cu
499,20,http://bgf-cu.xcache.kinxcdn.com/product/8801047289869.jpg,보성꽃차P500ml,"2,200원",cu
500,22,http://bgf-cu.xcache.kinxcdn.com/product/8801104664929.jpg,요플레토핑프레첼,"1,500원",cu
501,22,http://bgf-cu.xcache.kinxcdn.com/product/8801115225515.jpg,듀오안,"1,400원",cu
502,21,http://bgf-cu.xcache.kinxcdn.com/product/8801115381877.jpg,스타벅스스무스270ml,"2,500원",cu
503,20,http://bgf-cu.xcache.kinxcdn.com/product/8801056002725.jpg,2%복숭아P500ml,"1,700원",cu
504,20,http://bgf-cu.xcache.kinxcdn.com/product/8801056101589.jpg,사각사각수박,"1,400원",cu
