id,category,image,name,price,PB
1,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816854_001.jpg,매콤치즈바비큐(BBQ)버거1편,"2,300원",GS
2,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068379426_001.jpg,삼립)카프레제샌드위치1편,"2,500원",GS
3,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816588_001.jpg,듬뿍참치&치즈샌드1편,"2,200원",GS
4,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816441_001.jpg,흑당라떼샌드위치1편,"2,200원",GS
5,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068378764_001.jpg,삼립)화이트갈릭치킨버거1편,"2,300원",GS
6,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068378528_001.jpg,삼립)콰트로치즈토스트2편,"2,200원",GS
7,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816038_001.jpg,오리지널치킨버거1편,"2,000원",GS
8,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815895_001.jpg,베트남)정통반미샌드1편,"2,800원",GS
9,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068378207_002.jpg,삼립)포테이토에그샌드위치1편,"1,800원",GS
10,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815505_002.jpg,오리지널치즈버거1편,"2,000원",GS
11,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815710_002.jpg,아임파인샌드위치1편,"2,300원",GS
12,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815291_001.jpg,4단햄치즈&크랩맛살샌드1편,"2,300원",GS
13,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068377224_001.jpg,삼립)에그인헬치즈버거1편,"2,500원",GS
14,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814812_001.jpg,아삭햄치즈샌드위치1편,"2,500원",GS
15,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814416_001.jpg,남자친구샌드위치1편,"2,200원",GS
16,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814034_001.jpg,케이준치킨샌드1편,"2,300원",GS
17,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814027_001.jpg,듬뿍햄&참치샐러드샌드1편,"2,200원",GS
18,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814003_001.jpg,3단참치샐러드샌드1편,"2,000원",GS
19,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038813754_002.jpg,리얼함박스테이크버거1편,"2,800원",GS
20,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068375008_001.jpg,삼립)해쉬브라운파마산버거1편,"2,500원",GS
21,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038812207_001.jpg,브리오슈오리지날샌드1편,"2,500원",GS
22,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700013011168_001.jpg,빅)상하이치킨버거1편,"2,800원",GS
23,햄버거/샌드위치,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700013011144_001.jpg,빅)치즈불고기버거1편,"2,700원",GS
