id,category,image,name,price,PB
1,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801056102579_001.JPG,유어스)맑은샘물1.0L(신),900원,GS
2,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351209375_001.jpg,유어스)청포도스파클링340ML,"1,200원",GS
3,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801056102593_001.JPG,유어스)DMZ맑은샘물2.0L,"1,200원",GS
4,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801056103149_001.JPG,유어스)롯데옥수수수염차500ML,"1,500원",GS
5,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801056103132_001.JPG,유어스)롯데보리차500ML,"1,500원",GS
6,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809344666956_001.jpg,유어스)럭키사이다500ML,"1,200원",GS
7,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801056100131_001.jpg,유어스)도라지꿀배340ML,"1,000원",GS
8,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801223008505_001.jpg,유어스)청귤스파클링355ML,"1,000원",GS
9,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809102850603_001.jpg,유어스)카카오키위스무디190ML,"2,000원",GS
10,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809102850627_001.jpg,유어스)카카오망고스무디190ML,"2,000원",GS
11,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809102850610_001.jpg,유어스)카카오애플스무디190ML,"2,000원",GS
12,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809350888274_002.jpg,유어스(P)CAFE25블랙500ML,"2,500원",GS
13,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809046593116_002.jpg,유어스(P)CAFE25헤이즐넛500ML,"2,500원",GS
14,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809329050305_003.jpg,유어스)한라봉스파클링355ML,"1,000원",GS
15,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351209368_001.jpg,유어스)요구르트스파클링350ML,"1,500원",GS
16,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809329050466_001.jpg,유어스)유채꽃한라봉에이드410ML,"1,400원",GS
17,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809329050459_001.jpg,유어스)벚꽃복숭아에이드410ML,"1,400원",GS
18,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809329050442_001.jpg,유어스)장미레몬에이드410ML,"1,400원",GS
19,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809046593109_001.jpg,유어스)구르미소다(메론),"1,200원",GS
20,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8802774015820_001.jpg,19년유어스(P)따라주230ML,900원,GS
21,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8802774015806_001.jpg,19년유어스(P)수마트라230ML,900원,GS
22,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351442536_001.JPG,19년유어스(P)드롭탑스폐셜230ML,900원,GS
23,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351442499_001.JPG,19년유어스(P)드롭탑시다모230ML,900원,GS
24,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351442550_001.jpg,19년유어스(P)구마르230ML,900원,GS
25,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809351442512_001.jpg,19년유어스(P)예가체프230ML,900원,GS
26,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809413491748_001.jpg,유어스)임창정의깔라만시40ML,"1,600원",GS
27,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801069407692_001.jpg,유어스)벚꽃딸기에이드345ML,"1,200원",GS
28,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8808024026738_001.jpg,19년유어스)카라멜마끼아또230ML,"1,100원",GS
29,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8808024026714_001.jpg,19년유어스)아이스카페라떼230ML,"1,100원",GS
30,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809344666581_001.JPG,19년유어스)멜론라떼230ML,"1,100원",GS
31,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809344666574_001.JPG,19년유어스)파인크러쉬230ML,900원,GS
32,음료/커피,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809184804044_001.JPG,19년유어스)청포도에이드230ML,600원,GS
