id,category,image,name,price,PB
1,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809036812890_001.jpg,간편)대왕계란구이(치즈맛)2편,"5,500원",GS
2,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809045276232_001.jpg,치킨시저샐러드,"3,000원",GS
3,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809436070883_001.jpg,간편)마라탕2편,"5,500원",GS
4,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809148598156_003.jpg,샐러드특강기초편,"4,500원",GS
5,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809513100229_001.jpg,간편)나혼자삼겹살2편,"4,900원",GS
6,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809354580303_001.jpg,간편)마라족발2편,"5,500원",GS
7,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816601_001.jpg,간편)마라샹궈1편,"4,500원",GS
8,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809513100212_001.jpg,간편)나혼자돼지갈비2편,"5,500원",GS
9,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816366_001.jpg,자루소바1편,"3,400원",GS
10,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816021_001.jpg,간편)순대떡범벅1편,"3,500원",GS
11,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038816076_002.jpg,평양물냉면1편,"3,600원",GS
12,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809148595889_001.jpg,위드샐러드망고,"1,900원",GS
13,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809436070814_001.jpg,직화)모둠햄부대찌개,"4,900원",GS
14,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809436070821_001.jpg,직화)스팸김치찌개,"5,500원",GS
15,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809493251560_001.jpg,간편)멕시칸타코2편,"3,900원",GS
16,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809148595896_001.jpg,위드샐러드레몬갈릭,"1,900원",GS
17,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815826_001.jpg,BIG토마토스파게티1편,"3,800원",GS
18,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815611_001.jpg,가쓰오냉소바1편,"3,500원",GS
19,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815598_001.jpg,간편)냉채족발1편,"4,500원",GS
20,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815451_001.jpg,맛김치말이국수1편,"3,700원",GS
21,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809354587081_001.jpg,간편)소시지콘치즈그라탕2편,"3,300원",GS
22,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815314_001.jpg,간편)안주플래터1편,"4,900원",GS
23,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809513100182_001.jpg,간편)나혼자껍데기2편,"4,500원",GS
24,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038815208_001.jpg,함박데미스파게티1편,"3,900원",GS
25,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809045276164_001.jpg,수비드닭가슴살샐러드,"2,800원",GS
26,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809036812739_001.jpg,간편)한끼계란구이(햄)2편,"1,800원",GS
27,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809036812722_001.jpg,간편)한끼계란구이(치즈)2편,"1,800원",GS
28,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068376807_001.jpg,베트남식분짜볼샐러드,"4,800원",GS
29,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8801068376791_001.jpg,비빔밥볼샐러드,"4,800원",GS
30,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700038814607_001.jpg,간편)나를위한백미밥1편,"1,000원",GS
31,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809436070753_001.jpg,간편)오븐에구운매콤불닭150G,"2,900원",GS
32,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809436070746_001.jpg,간편)오븐에구운제육불고기150G,"2,900원",GS
33,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809493251447_001.jpg,간편)나혼자닭갈비2편,"4,900원",GS
34,간편식,http://gs25appimg.gsretail.com/imgsvr/item/GD_8809148591805_001.jpg,위드샐러드애플요거트,"1,900원",GS
